     collisions(billions)   time(microsecond)    Monomer   Oligomer   Fibril
========================================================================================
         0.0000                  0.0000            48         0         0
         0.0927                  0.0061            48         0         0
         0.1000                  0.0066            48         0         0
         0.1888                  0.0131            48         0         0
         0.2000                  0.0139            46         0         0
         0.2849                  0.0210            48         0         0
         0.3000                  0.0221            48         0         0
         0.3807                  0.0299            48         0         0
         0.4000                  0.0314            46         0         0
         0.4763                  0.0404            48         0         0
         0.5000                  0.0424            48         0         0
         0.5744                  0.0505            48         0         0
         0.6487                  0.0570            46         0         0
         0.6500                  0.0571            48         0         0
         0.7225                  0.0659            46         0         0
         0.7948                  0.0724            46         0         0
         0.8000                  0.0729            46         0         0
         0.8704                  0.0826            46         0         0
         0.9408                  0.0892            46         0         0
         1.0000                  0.0948            48         0         0
         1.0684                  0.1058            44         0         0
         1.1368                  0.1126            42         0         0
         1.2051                  0.1193            48         0         0
         1.2500                  0.1238            48         0         0
         1.3148                  0.1415            48         0         0
         1.3795                  0.1484            48         0         0
         1.4442                  0.1553            48         0         0
         1.5091                  0.1622            48         0         0
         1.5739                  0.1692            48         0         0
         1.6388                  0.1761            48         0         0
         1.7036                  0.1830            48         0         0
         1.7683                  0.1899            48         0         0
         1.8332                  0.1968            48         0         0
         1.8980                  0.2038            48         0         0
         1.9627                  0.2107            48         0         0
         2.0274                  0.2176            48         0         0
         2.0921                  0.2245            48         0         0
         2.1568                  0.2314            48         0         0
         2.2217                  0.2384            48         0         0
         2.2500                  0.2414            29         2         0
         2.3150                  0.2483            29         2         0
         2.3799                  0.2552            29         2         0
         2.4447                  0.2621            29         2         0
         2.5096                  0.2691            29         2         0
         2.5745                  0.2760            29         2         0
         2.6395                  0.2829            29         2         0
         2.7044                  0.2898            29         2         0
         2.7697                  0.2967            29         2         0
         2.8349                  0.3037            29         2         0
         2.8998                  0.3106            29         2         0
         2.9648                  0.3175            29         2         0
         3.0299                  0.3244            29         2         0
         3.0951                  0.3313            29         2         0
         3.1603                  0.3382            29         2         0
         3.2255                  0.3452            29         2         0
         3.2500                  0.3478            17         3         0
         3.3151                  0.3547            17         3         0
         3.3804                  0.3616            17         3         0
         3.4456                  0.3685            17         3         0
         3.5106                  0.3755            17         3         0
         3.5757                  0.3824            17         3         0
         3.6407                  0.3893            17         3         0
         3.7059                  0.3962            17         3         0
         3.7710                  0.4031            17         3         0
         3.8362                  0.4101            17         3         0
         3.9014                  0.4170            17         3         0
         3.9666                  0.4239            17         3         0
         4.0319                  0.4308            17         3         0
         4.0972                  0.4377            17         3         0
         4.1626                  0.4447            17         3         0
         4.2282                  0.4516            17         3         0
         4.2500                  0.4539             9         2         0
         4.3155                  0.4608             9         2         0
         4.3808                  0.4677             9         2         0
         4.4463                  0.4746             9         2         0
         4.5117                  0.4815             9         2         0
         4.5771                  0.4885             9         2         0
         4.6424                  0.4954             9         2         0
         4.7079                  0.5023             9         2         0
         4.7732                  0.5092             9         2         0
         4.8386                  0.5161             9         2         0
         4.9040                  0.5231             9         2         0
         4.9694                  0.5300             9         2         0
         5.0348                  0.5369             9         2         0
         5.1002                  0.5438             9         2         0
         5.1656                  0.5507             9         2         0
         5.2311                  0.5577             9         2         0
         5.2500                  0.5597             9         1         1
         5.3155                  0.5666             9         1         1
         5.3808                  0.5735             9         1         1
         5.4461                  0.5804             9         1         1
         5.5114                  0.5874             9         1         1
         5.5767                  0.5943             9         1         1
         5.6420                  0.6012             9         1         1
         5.7073                  0.6081             9         1         1
         5.7727                  0.6150             9         1         1
         5.8380                  0.6219             9         1         1
         5.9034                  0.6289             9         1         1
         5.9688                  0.6358             9         1         1
         6.0341                  0.6427             9         1         1
         6.0992                  0.6496             9         1         1
         6.1645                  0.6565             9         1         1
         6.2298                  0.6635             9         1         1
         6.2500                  0.6656             9         2         0
         6.3152                  0.6725             9         2         0
         6.3805                  0.6794             9         2         0
         6.4457                  0.6864             9         2         0
         6.5109                  0.6933             9         2         0
         6.5761                  0.7002             9         2         0
         6.6414                  0.7071             9         2         0
         6.7066                  0.7140             9         2         0
         6.7719                  0.7210             9         2         0
         6.8373                  0.7279             9         2         0
         6.9027                  0.7348             9         2         0
         6.9680                  0.7417             9         2         0
         7.0331                  0.7486             9         2         0
         7.0983                  0.7556             9         2         0
         7.1636                  0.7625             9         2         0
         7.2289                  0.7694             9         2         0
         7.2500                  0.7716             6         1         1
         7.3152                  0.7786             6         1         1
         7.3805                  0.7855             6         1         1
         7.4458                  0.7924             6         1         1
         7.5109                  0.7993             6         1         1
         7.5760                  0.8062             6         1         1
         7.6414                  0.8132             6         1         1
         7.7066                  0.8201             6         1         1
         7.7719                  0.8270             6         1         1
         7.8371                  0.8339             6         1         1
         7.9024                  0.8408             6         1         1
         7.9675                  0.8478             6         1         1
         8.0328                  0.8547             6         1         1
         8.0980                  0.8616             6         1         1
         8.1632                  0.8685             6         1         1
         8.2282                  0.8754             6         1         1
         8.2500                  0.8778             9         0         2
         8.3151                  0.8847             9         0         2
         8.3803                  0.8916             9         0         2
         8.4454                  0.8985             9         0         2
         8.5105                  0.9054             9         0         2
         8.5756                  0.9123             9         0         2
         8.6407                  0.9193             9         0         2
         8.7059                  0.9262             9         0         2
         8.7711                  0.9331             9         0         2
         8.8360                  0.9400             9         0         2
         8.9012                  0.9469             9         0         2
         8.9663                  0.9539             9         0         2
         9.0313                  0.9608             9         0         2
         9.0965                  0.9677             9         0         2
         9.1616                  0.9746             9         0         2
         9.2265                  0.9815             9         0         2
         9.2500                  0.9840             9         2         0
         9.3149                  0.9910             9         2         0
         9.3799                  0.9979             9         2         0
         9.4449                  1.0048             9         2         0
         9.5098                  1.0117             9         2         0
         9.5749                  1.0186             9         2         0
         9.6401                  1.0256             9         2         0
         9.7051                  1.0325             9         2         0
         9.7701                  1.0394             9         2         0
         9.8351                  1.0463             9         2         0
         9.9003                  1.0532             9         2         0
         9.9652                  1.0602             9         2         0
        10.0303                  1.0671             9         2         0
        10.0955                  1.0740             9         2         0
        10.1608                  1.0809             9         2         0
        10.2260                  1.0878             9         2         0
        10.2500                  1.0904            11         2         0
        10.3152                  1.0973            11         2         0
        10.3803                  1.1042            11         2         0
        10.4455                  1.1111            11         2         0
        10.5106                  1.1181            11         2         0
        10.5758                  1.1250            11         2         0
        10.6411                  1.1319            11         2         0
        10.7063                  1.1388            11         2         0
        10.7716                  1.1457            11         2         0
        10.8368                  1.1527            11         2         0
        10.9019                  1.1596            11         2         0
        10.9673                  1.1665            11         2         0
        11.0325                  1.1734            11         2         0
        11.0978                  1.1803            11         2         0
        11.1629                  1.1873            11         2         0
        11.2283                  1.1942            11         2         0
        11.2500                  1.1965            10         2         0
        11.3153                  1.2034            10         2         0
        11.3806                  1.2103            10         2         0
        11.4457                  1.2172            10         2         0
        11.5110                  1.2242            10         2         0
        11.5764                  1.2311            10         2         0
        11.6420                  1.2380            10         2         0
        11.7074                  1.2449            10         2         0
        11.7727                  1.2518            10         2         0
        11.8379                  1.2588            10         2         0
        11.9031                  1.2657            10         2         0
        11.9686                  1.2726            10         2         0
        12.0340                  1.2795            10         2         0
        12.0994                  1.2864            10         2         0
        12.1646                  1.2934            10         2         0
        12.2300                  1.3003            10         2         0
        12.2500                  1.3024            11         2         0
        12.3154                  1.3093            11         2         0
        12.3807                  1.3162            11         2         0
        12.4460                  1.3231            11         2         0
        12.5112                  1.3301            11         2         0
        12.5765                  1.3370            11         2         0
        12.6416                  1.3439            11         2         0
        12.7067                  1.3508            11         2         0
        12.7718                  1.3577            11         2         0
        12.8371                  1.3647            11         2         0
        12.9026                  1.3716            11         2         0
        12.9679                  1.3785            11         2         0
        13.0332                  1.3854            11         2         0
        13.0984                  1.3923            11         2         0
        13.1635                  1.3993            11         2         0
        13.2285                  1.4062            11         2         0
        13.2500                  1.4085            16         1         1
        13.3152                  1.4154            16         1         1
        13.3803                  1.4223            16         1         1
        13.4455                  1.4292            16         1         1
        13.5105                  1.4361            16         1         1
        13.5757                  1.4431            16         1         1
        13.6408                  1.4500            16         1         1
        13.7059                  1.4569            16         1         1
        13.7710                  1.4638            16         1         1
        13.8362                  1.4707            16         1         1
        13.9015                  1.4777            16         1         1
        13.9666                  1.4846            16         1         1
        14.0318                  1.4915            16         1         1
        14.0969                  1.4984            16         1         1
        14.1619                  1.5053            16         1         1
        14.2271                  1.5122            16         1         1
        14.2500                  1.5147            11         2         0
        14.3152                  1.5216            11         2         0
        14.3804                  1.5285            11         2         0
        14.4454                  1.5354            11         2         0
        14.5104                  1.5424            11         2         0
        14.5755                  1.5493            11         2         0
        14.6406                  1.5562            11         2         0
        14.7057                  1.5631            11         2         0
        14.7712                  1.5700            11         2         0
        14.8364                  1.5770            11         2         0
        14.9019                  1.5839            11         2         0
        14.9672                  1.5908            11         2         0
        15.0323                  1.5977            11         2         0
        15.0975                  1.6046            11         2         0
        15.1628                  1.6116            11         2         0
        15.2280                  1.6185            11         2         0
        15.2500                  1.6208             9         1         1
        15.3154                  1.6277             9         1         1
        15.3805                  1.6346             9         1         1
        15.4457                  1.6416             9         1         1
        15.5109                  1.6485             9         1         1
        15.5761                  1.6554             9         1         1
        15.6414                  1.6623             9         1         1
        15.7064                  1.6692             9         1         1
        15.7714                  1.6762             9         1         1
        15.8366                  1.6831             9         1         1
        15.9017                  1.6900             9         1         1
        15.9667                  1.6969             9         1         1
