     collisions(billions)   time(microsecond)   temperature(K)   Etotal(kJ/mol)   KE(kJ/mol)   PE(kJ/mol)
===============================================================================================================
         0.0000                  0.0000            1028.4          11232.0000    11232.0000        0.0000
         0.0927                  0.0061             999.2          10933.5032    10945.2096      -11.7064
         0.1000                  0.0066            1021.5          11141.4789    11163.6720      -22.1931
         0.1888                  0.0131             904.1          10011.7570    10011.6432        0.1138
         0.2000                  0.0139             869.4           9641.8007     9670.5648      -28.7641
         0.2849                  0.0210             778.8           8762.9965     8781.1776      -18.1811
         0.3000                  0.0221             801.4           8981.7194     9003.1968      -21.4774
         0.3807                  0.0299             697.3           7956.7300     7981.4592      -24.7292
         0.4000                  0.0314             672.9           7726.4659     7742.4048      -15.9389
         0.4763                  0.0404             589.7           6902.2443     6925.4640      -23.2197
         0.5000                  0.0424             568.0           6707.8258     6711.8688       -4.0430
         0.5744                  0.0505             526.6           6267.6989     6305.4576      -37.7587
         0.6487                  0.0570             539.9           6363.3530     6436.6848      -73.3318
         0.6500                  0.0571             559.3           6560.3180     6627.0672      -66.7492
         0.7225                  0.0659             481.0           5768.7851     5858.4240      -89.6389
         0.7948                  0.0724             469.9           5715.3928     5749.2864      -33.8936
         0.8000                  0.0729             472.3           5714.0193     5773.2480      -59.2287
         0.8704                  0.0826             438.9           5373.8609     5445.2736      -71.4127
         0.9408                  0.0892             460.4           5577.5024     5655.6864      -78.1840
         1.0000                  0.0948             428.5           5271.7292     5343.0624      -71.3332
         1.0684                  0.1058             373.8           4599.8611     4805.4240     -205.5629
         1.1368                  0.1126             381.3           4665.9004     4879.1808     -213.2804
         1.2051                  0.1193             370.5           4642.3443     4773.6000     -131.2557
         1.2500                  0.1238             385.4           4845.8582     4919.4288      -73.5706
         1.3148                  0.1415             315.9           3511.7388     4237.6464     -725.9076
         1.3795                  0.1484             301.0           3348.9707     4091.2560     -742.2853
         1.4442                  0.1553             327.2           3667.5715     4348.0944     -680.5229
         1.5091                  0.1622             313.0           3443.9140     4209.0048     -765.0908
         1.5739                  0.1692             311.2           3191.5804     4191.0336     -999.4532
         1.6388                  0.1761             309.4           3137.2258     4173.4368    -1036.2110
         1.7036                  0.1830             315.5           3493.2774     4233.9024     -740.6250
         1.7683                  0.1899             300.4           3210.2744     4085.6400     -875.3656
         1.8332                  0.1968             321.7           3143.3291     4294.5552    -1151.2261
         1.8980                  0.2038             305.2           3089.2022     4133.0016    -1043.7994
         1.9627                  0.2107             301.3           3297.8358     4094.6256     -796.7898
         2.0274                  0.2176             311.2           3431.5837     4191.0336     -759.4499
         2.0921                  0.2245             313.8           3346.4268     4216.6800     -870.2532
         2.1568                  0.2314             313.0           3494.6731     4208.6304     -713.9573
         2.2217                  0.2384             315.0           3256.9351     4228.2864     -971.3513
         2.2500                  0.2414             322.9           3392.5779     4305.7872     -913.2093
         2.3150                  0.2483             316.4           3067.8625     4242.1392    -1174.2767
         2.3799                  0.2552             311.0           3138.1167     4189.9104    -1051.7937
         2.4447                  0.2621             310.1           3008.7057     4180.3632    -1171.6575
         2.5096                  0.2691             300.3           2991.4531     4084.7040    -1093.2509
         2.5745                  0.2760             321.2           2987.3556     4289.1264    -1301.7708
         2.6395                  0.2829             306.9           2930.1401     4148.9136    -1218.7735
         2.7044                  0.2898             322.5           2827.2739     4302.7920    -1475.5181
         2.7697                  0.2967             309.8           2740.0762     4177.9296    -1437.8534
         2.8349                  0.3037             316.6           2762.1168     4244.0112    -1481.8944
         2.8998                  0.3106             318.4           2728.8480     4262.3568    -1533.5088
         2.9648                  0.3175             313.7           2519.4234     4216.3056    -1696.8822
         3.0299                  0.3244             314.2           2451.3140     4220.6112    -1769.2972
         3.0951                  0.3313             304.8           2308.5896     4128.6960    -1820.1064
         3.1603                  0.3382             306.3           2461.1217     4142.9232    -1681.8015
         3.2255                  0.3452             323.3           2558.3238     4310.2800    -1751.9562
         3.2500                  0.3478             310.1           2380.7527     4180.5504    -1799.7977
         3.3151                  0.3547             296.5           2158.1329     4046.8896    -1888.7567
         3.3804                  0.3616             336.6           2463.4325     4440.9456    -1977.5131
         3.4456                  0.3685             305.6           2182.1914     4136.1840    -1953.9926
         3.5106                  0.3755             296.4           2197.7884     4046.1408    -1848.3524
         3.5757                  0.3824             310.2           2268.5310     4181.6736    -1913.1426
         3.6407                  0.3893             309.0           2159.6523     4169.6928    -2010.0405
         3.7059                  0.3962             314.1           2266.4762     4220.0496    -1953.5734
         3.7710                  0.4031             306.5           2109.4479     4144.7952    -2035.3473
         3.8362                  0.4101             308.0           1967.4485     4159.9584    -2192.5099
         3.9014                  0.4170             321.1           1982.3317     4288.3776    -2306.0459
         3.9666                  0.4239             298.6           1910.2101     4067.4816    -2157.2715
         4.0319                  0.4308             292.0           2088.0109     4002.5232    -1914.5123
         4.0972                  0.4377             295.1           1811.8068     4033.5984    -2221.7916
         4.1626                  0.4447             316.3           2097.0358     4241.7648    -2144.7290
         4.2282                  0.4516             318.4           2011.5534     4261.7952    -2250.2418
         4.2500                  0.4539             314.3           1964.6044     4222.1088    -2257.5044
         4.3155                  0.4608             305.3           1564.1965     4133.3760    -2569.1795
         4.3808                  0.4677             307.7           1641.1279     4156.9632    -2515.8353
         4.4463                  0.4746             310.7           1709.0813     4186.5408    -2477.4595
         4.5117                  0.4815             302.4           1624.3114     4105.2960    -2480.9846
         4.5771                  0.4885             298.5           1300.6898     4066.5456    -2765.8558
         4.6424                  0.4954             297.4           1377.5085     4055.6880    -2678.1795
         4.7079                  0.5023             306.6           1405.2918     4146.6672    -2741.3754
         4.7732                  0.5092             315.8           1617.3976     4236.1488    -2618.7512
         4.8386                  0.5161             327.3           1758.1065     4349.5920    -2591.4855
         4.9040                  0.5231             296.3           1297.2247     4044.8304    -2747.6057
