     collisions(billions)   time(microsecond)   total hb    interpeptide hb
 ============================================================================
         0.0000                  0.0000              0              0
         0.0739                  0.0061              0              0
         0.1000                  0.0083              0              0
         0.1709                  0.0149              0              0
         0.2000                  0.0174              0              0
         0.2678                  0.0247              0              0
         0.3000                  0.0277              0              0
         0.3644                  0.0359              2              2
         0.4000                  0.0394              2              0
         0.4608                  0.0491              3              1
         0.5000                  0.0532              3              1
         0.5593                  0.0616              7              3
         0.6185                  0.0682              6              0
         0.6500                  0.0716              4              1
         0.7076                  0.0809              8              1
         0.7652                  0.0875              5              3
         0.8000                  0.0915              8              2
         0.8561                  0.1019             10              2
         0.9121                  0.1085             10              2
         0.9683                  0.1152             11              2
         1.0000                  0.1190             10              4
         1.0544                  0.1310             12              6
         1.1088                  0.1378             14              3
         1.1633                  0.1445             14              3
         1.2177                  0.1513             17             11
         1.2500                  0.1553             20              5
         1.3015                  0.1758             41             24
         1.3500                  0.1823             50             30
         1.4018                  0.1892             70             57
         1.4500                  0.1956             82             65
         1.5016                  0.2026             78             66
         1.5500                  0.2090             90             69
         1.6016                  0.2160             89             77
         1.6500                  0.2224            102             87
         1.7017                  0.2293             95             82
         1.7500                  0.2358            104             93
         1.8019                  0.2427            115             94
         1.8500                  0.2492             96             86
         1.9019                  0.2561            116             95
         1.9500                  0.2625            108             94
         2.0018                  0.2694            117            109
         2.0500                  0.2758            126            119
         2.1020                  0.2828            129            118
         2.1500                  0.2892            132            122
         2.2021                  0.2961            131            119
         2.2500                  0.3025            119            112
         2.3019                  0.3094            127            121
         2.3500                  0.3158            137            128
         2.4020                  0.3227            127            112
         2.4500                  0.3291            123            108
         2.5021                  0.3360            138            126
         2.5500                  0.3424            141            134
         2.6021                  0.3493            131            121
         2.6500                  0.3556            131            124
         2.7022                  0.3626            124            122
         2.7500                  0.3689            155            149
         2.8021                  0.3758            178            166
         2.8500                  0.3822            152            134
         2.9020                  0.3891            156            145
         2.9500                  0.3955            153            146
         3.0020                  0.4024            136            124
         3.0500                  0.4088            140            128
         3.1020                  0.4157            132            126
         3.1500                  0.4220            131            127
         3.2020                  0.4290            144            134
         3.2500                  0.4354            124            115
         3.3021                  0.4423            144            133
         3.3500                  0.4487            135            131
         3.4020                  0.4556            142            132
         3.4500                  0.4619            139            131
         3.5021                  0.4689            143            131
         3.5500                  0.4752            149            143
         3.6021                  0.4821            132            126
         3.6500                  0.4885            153            150
         3.7020                  0.4954            142            140
         3.7500                  0.5018            174            167
         3.8022                  0.5087            142            138
         3.8500                  0.5150            147            142
         3.9020                  0.5220            157            154
         3.9500                  0.5283            157            152
         4.0021                  0.5353            165            155
         4.0500                  0.5416            155            148
         4.1021                  0.5486            142            133
         4.1500                  0.5549            145            140
         4.2021                  0.5618            150            140
         4.2500                  0.5682            141            135
         4.3021                  0.5751            157            152
         4.3500                  0.5815            150            138
         4.4023                  0.5884            151            142
         4.4500                  0.5947            159            153
         4.5021                  0.6017            146            136
         4.5500                  0.6080            151            145
         4.6021                  0.6150            152            142
         4.6500                  0.6213            154            149
         4.7022                  0.6282            154            150
         4.7500                  0.6346            157            150
         4.8023                  0.6415            157            148
         4.8500                  0.6478            148            131
         4.9022                  0.6547            161            156
         4.9500                  0.6610            148            142
         5.0022                  0.6680            151            142
         5.0500                  0.6743            157            145
         5.1021                  0.6812            152            139
         5.1500                  0.6876            140            129
         5.2021                  0.6945            156            146
         5.2500                  0.7009            151            148
         5.3022                  0.7078            148            143
         5.3500                  0.7141            160            148
         5.4021                  0.7210            172            164
         5.4500                  0.7274            160            154
         5.5019                  0.7343            159            153
         5.5500                  0.7407            163            159
         5.6020                  0.7476            159            149
         5.6500                  0.7540            173            162
         5.7021                  0.7609            155            142
         5.7500                  0.7673            166            155
         5.8021                  0.7742            158            149
         5.8500                  0.7806            152            148
         5.9021                  0.7875            152            147
         5.9500                  0.7938            155            151
         6.0020                  0.8008            171            161
         6.0500                  0.8072            178            175
         6.1020                  0.8141            171            166
         6.1500                  0.8205            172            168
         6.2020                  0.8274            171            164
         6.2500                  0.8337            157            148
         6.3021                  0.8407            162            157
         6.3500                  0.8470            161            151
         6.4022                  0.8539            170            163
         6.4500                  0.8603            153            146
         6.5021                  0.8672            167            155
         6.5500                  0.8736            160            155
         6.6020                  0.8805            152            148
         6.6500                  0.8868            165            156
         6.7023                  0.8938            144            136
         6.7500                  0.9001            163            156
         6.8020                  0.9070            159            152
         6.8500                  0.9134            169            161
         6.9021                  0.9203            183            173
         6.9500                  0.9267            171            161
         7.0021                  0.9336            158            150
         7.0500                  0.9399            159            153
         7.1021                  0.9469            157            144
         7.1500                  0.9532            152            138
         7.2022                  0.9601            149            139
         7.2500                  0.9665            152            142
         7.3022                  0.9734            148            142
         7.3500                  0.9798            157            150
         7.4023                  0.9867            162            157
         7.4500                  0.9930            163            159
         7.5020                  0.9999            157            153
         7.5500                  1.0063            150            138
         7.6020                  1.0132            160            146
         7.6500                  1.0196            149            137
         7.7021                  1.0265            158            144
         7.7500                  1.0329            149            139
         7.8022                  1.0398            155            144
         7.8500                  1.0462            159            148
         7.9021                  1.0531            164            153
         7.9500                  1.0595            179            168
         8.0020                  1.0664            150            142
         8.0500                  1.0728            163            153
         8.1022                  1.0797            157            149
         8.1500                  1.0860            144            138
         8.2020                  1.0930            167            158
         8.2500                  1.0993            160            155
         8.3022                  1.1063            156            144
         8.3500                  1.1126            157            148
         8.4020                  1.1195            150            146
         8.4500                  1.1259            162            145
         8.5020                  1.1329            160            146
         8.5500                  1.1393            159            153
         8.6019                  1.1462            165            161
         8.6500                  1.1526            162            157
         8.7019                  1.1595            180            175
         8.7500                  1.1659            164            160
         8.8019                  1.1728            170            168
         8.8500                  1.1793            158            151
         8.9020                  1.1862            150            147
         8.9500                  1.1926            171            161
         9.0020                  1.1995            173            161
         9.0500                  1.2059            165            162
         9.1020                  1.2128            170            162
         9.1500                  1.2192            179            172
         9.2020                  1.2261            169            155
         9.2500                  1.2325            167            158
         9.3020                  1.2395            182            178
         9.3500                  1.2459            162            152
         9.4020                  1.2528            159            152
         9.4500                  1.2592            169            159
         9.5018                  1.2661            169            159
         9.5500                  1.2725            151            147
         9.6019                  1.2794            157            150
         9.6500                  1.2858            156            151
         9.7018                  1.2927            161            153
         9.7500                  1.2992            174            160
         9.8020                  1.3061            170            164
         9.8500                  1.3125            152            145
         9.9020                  1.3194            157            153
         9.9500                  1.3258            174            169
        10.0018                  1.3327            175            168
        10.0500                  1.3392            173            171
        10.1019                  1.3461            163            159
        10.1500                  1.3525            166            161
        10.2020                  1.3594            164            159
        10.2500                  1.3658            167            157
        10.3021                  1.3727            158            152
        10.3500                  1.3791            166            156
        10.4019                  1.3860            168            164
        10.4500                  1.3924            174            166
        10.5021                  1.3993            155            148
        10.5500                  1.4057            156            148
        10.6020                  1.4126            166            162
        10.6500                  1.4191            166            158
        10.7019                  1.4260            157            151
        10.7500                  1.4324            162            156
        10.8019                  1.4393            161            149
        10.8500                  1.4457            165            164
        10.9019                  1.4527            149            135
        10.9500                  1.4591            170            160
        11.0018                  1.4660            167            159
        11.0500                  1.4724            181            178
        11.1019                  1.4793            171            166
        11.1500                  1.4857            171            166
        11.2018                  1.4927            181            170
        11.2500                  1.4991            187            181
