     collisions(billions)   time(microsecond)   total hb    interpeptide hb   hb_alpha
  ========================================================================================
         0.0000                  0.0000              0              0              0
         0.0927                  0.0061              1              0              0
         0.1000                  0.0066              2              2              0
         0.1888                  0.0131              0              0              0
         0.2000                  0.0139              2              0              0
         0.2849                  0.0210              1              0              0
         0.3000                  0.0221              1              0              0
         0.3807                  0.0299              2              2              0
         0.4000                  0.0314              1              0              1
         0.4763                  0.0404              2              0              0
         0.5000                  0.0424              0              0              0
         0.5744                  0.0505              3              0              0
         0.6487                  0.0570              5              0              2
         0.6500                  0.0571              5              1              0
         0.7225                  0.0659              7              1              1
         0.7948                  0.0724              2              1              0
         0.8000                  0.0729              4              1              0
         0.8704                  0.0826              5              1              0
         0.9408                  0.0892              6              1              0
         1.0000                  0.0948              5              0              0
         1.0684                  0.1058             15              3              3
         1.1368                  0.1126             15              5              3
         1.2051                  0.1193             11              0              4
         1.2500                  0.1238              5              1              1
         1.3148                  0.1415             49             19             11
         1.3795                  0.1484             55             36              6
         1.4442                  0.1553             51             30             10
         1.5091                  0.1622             48             30              7
         1.5739                  0.1692             62             43              5
         1.6388                  0.1761             62             51              4
         1.7036                  0.1830             50             32              7
         1.7683                  0.1899             59             35              8
         1.8332                  0.1968             79             56              6
         1.8980                  0.2038             69             52             10
         1.9627                  0.2107             49             36              3
         2.0274                  0.2176             51             25              5
         2.0921                  0.2245             55             27              9
         2.1568                  0.2314             46             20              7
         2.2217                  0.2384             58             45              4
         2.2500                  0.2414             58             43              4
         2.3150                  0.2483             70             50              7
         2.3799                  0.2552             63             40              9
         2.4447                  0.2621             69             54              4
         2.5096                  0.2691             63             46              6
         2.5745                  0.2760             81             63              5
         2.6395                  0.2829             73             64              3
         2.7044                  0.2898             94             68             11
         2.7697                  0.2967             82             71              2
         2.8349                  0.3037             87             65             10
         2.8998                  0.3106             83             74              0
         2.9648                  0.3175             92             76              5
         3.0299                  0.3244             97             80              4
         3.0951                  0.3313             98             82              6
         3.1603                  0.3382             88             77              2
         3.2255                  0.3452             98             88              3
         3.2500                  0.3478            100             81              6
         3.3151                  0.3547            108             90              5
         3.3804                  0.3616            107             96              4
         3.4456                  0.3685            111            102              1
         3.5106                  0.3755            104             91              4
         3.5757                  0.3824            103             99              0
         3.6407                  0.3893            116             99              7
         3.7059                  0.3962            102             93              4
         3.7710                  0.4031            110            102              1
         3.8362                  0.4101            116            109              3
         3.9014                  0.4170            122            110              4
         3.9666                  0.4239            115            105              5
         4.0319                  0.4308            103             94              3
         4.0972                  0.4377            116            106              2
         4.1626                  0.4447            107             99              2
         4.2282                  0.4516            117            108              2
         4.2500                  0.4539            114            110              0
         4.3155                  0.4608            137            122              5
         4.3808                  0.4677            132            119              3
         4.4463                  0.4746            138            125              6
         4.5117                  0.4815            136            126              3
         4.5771                  0.4885            152            136              9
         4.6424                  0.4954            148            138              1
         4.7079                  0.5023            153            143              4
         4.7732                  0.5092            141            133              4
         4.8386                  0.5161            134            124              2
         4.9040                  0.5231            144            133              2
         4.9694                  0.5300            149            136              5
         5.0348                  0.5369            147            136              5
         5.1002                  0.5438            124            117              2
         5.1656                  0.5507            153            140              5
         5.2311                  0.5577            133            118              7
         5.2500                  0.5597            122            110              4
         5.3155                  0.5666            134            125              1
         5.3808                  0.5735            127            112              3
         5.4461                  0.5804            149            135              6
         5.5114                  0.5874            138            125              5
         5.5767                  0.5943            131            123              1
         5.6420                  0.6012            144            123              4
         5.7073                  0.6081            143            134              3
         5.7727                  0.6150            150            141              2
         5.8380                  0.6219            135            121              3
         5.9034                  0.6289            135            119              6
         5.9688                  0.6358            137            123              7
         6.0341                  0.6427            160            152              1
         6.0992                  0.6496            146            136              3
         6.1645                  0.6565            162            150              3
         6.2298                  0.6635            139            134              1
         6.2500                  0.6656            149            142              2
         6.3152                  0.6725            139            125              8
         6.3805                  0.6794            146            134              4
         6.4457                  0.6864            144            139              1
         6.5109                  0.6933            158            141              6
         6.5761                  0.7002            141            128              4
         6.6414                  0.7071            162            149              5
         6.7066                  0.7140            148            143              1
         6.7719                  0.7210            159            147              5
         6.8373                  0.7279            142            135              0
         6.9027                  0.7348            157            143              5
         6.9680                  0.7417            146            136              5
         7.0331                  0.7486            161            146              6
         7.0983                  0.7556            151            142              4
         7.1636                  0.7625            150            144              2
         7.2289                  0.7694            160            154              1
         7.2500                  0.7716            157            142              5
         7.3152                  0.7786            150            146              0
         7.3805                  0.7855            173            163              2
         7.4458                  0.7924            174            162              4
         7.5109                  0.7993            167            161              0
         7.5760                  0.8062            168            165              2
         7.6414                  0.8132            160            153              0
         7.7066                  0.8201            150            144              3
         7.7719                  0.8270            165            154              5
         7.8371                  0.8339            159            150              4
         7.9024                  0.8408            149            144              1
         7.9675                  0.8478            157            151              2
         8.0328                  0.8547            160            154              2
         8.0980                  0.8616            161            152              2
         8.1632                  0.8685            161            157              1
         8.2282                  0.8754            156            150              2
         8.2500                  0.8778            158            150              3
         8.3151                  0.8847            153            150              0
         8.3803                  0.8916            167            158              3
         8.4454                  0.8985            163            158              1
         8.5105                  0.9054            160            148              6
         8.5756                  0.9123            160            156              0
         8.6407                  0.9193            169            166              0
         8.7059                  0.9262            163            158              1
         8.7711                  0.9331            164            160              2
         8.8360                  0.9400            163            159              0
         8.9012                  0.9469            161            157              2
         8.9663                  0.9539            173            166              1
         9.0313                  0.9608            171            166              4
         9.0965                  0.9677            154            147              1
         9.1616                  0.9746            171            167              0
         9.2265                  0.9815            174            172              1
         9.2500                  0.9840            174            168              1
         9.3149                  0.9910            153            151              1
         9.3799                  0.9979            154            146              2
         9.4449                  1.0048            164            159              2
         9.5098                  1.0117            145            141              0
         9.5749                  1.0186            147            138              4
         9.6401                  1.0256            159            153              0
         9.7051                  1.0325            145            140              1
         9.7701                  1.0394            147            142              2
         9.8351                  1.0463            154            143              2
         9.9003                  1.0532            160            152              2
         9.9652                  1.0602            161            151              0
        10.0303                  1.0671            156            148              1
        10.0955                  1.0740            147            143              2
        10.1608                  1.0809            147            140              5
        10.2260                  1.0878            159            147              4
        10.2500                  1.0904            145            139              2
        10.3152                  1.0973            144            139              2
        10.3803                  1.1042            137            128              4
        10.4455                  1.1111            148            138              6
        10.5106                  1.1181            147            136              4
        10.5758                  1.1250            138            134              3
        10.6411                  1.1319            147            137              1
        10.7063                  1.1388            135            120              4
        10.7716                  1.1457            134            124              1
        10.8368                  1.1527            134            129              1
        10.9019                  1.1596            147            133              3
        10.9673                  1.1665            137            131              3
        11.0325                  1.1734            139            126              3
        11.0978                  1.1803            148            139              1
        11.1629                  1.1873            155            136              6
        11.2283                  1.1942            149            142              2
        11.2500                  1.1965            137            129              3
        11.3153                  1.2034            121            114              1
        11.3806                  1.2103            138            116             15
        11.4457                  1.2172            132            126              3
        11.5110                  1.2242            133            117              5
        11.5764                  1.2311            118             97              4
        11.6420                  1.2380            129            120              3
        11.7074                  1.2449            129            113              3
        11.7727                  1.2518            119            110              2
        11.8379                  1.2588            133            123              4
        11.9031                  1.2657            109            100              2
        11.9686                  1.2726            132            121              5
        12.0340                  1.2795            137            120              5
        12.0994                  1.2864            129            123              0
        12.1646                  1.2934            126            105              6
        12.2300                  1.3003            119            110              3
        12.2500                  1.3024            122            115              4
        12.3154                  1.3093            137            127              5
        12.3807                  1.3162            129            121              3
        12.4460                  1.3231            134            116              6
        12.5112                  1.3301            133            122              4
        12.5765                  1.3370            132            120              5
        12.6416                  1.3439            120            110              4
        12.7067                  1.3508            123            111              8
        12.7718                  1.3577            106             94              3
        12.8371                  1.3647            126            116              5
        12.9026                  1.3716             97             83              4
        12.9679                  1.3785            126            102              8
        13.0332                  1.3854            119             98              6
        13.0984                  1.3923            102             93              4
        13.1635                  1.3993            118            105              5
        13.2285                  1.4062            120            106              7
        13.2500                  1.4085            118            101              5
        13.3152                  1.4154            127            112              4
        13.3803                  1.4223            120            108              6
        13.4455                  1.4292            110             99              2
        13.5105                  1.4361            129            112              4
        13.5757                  1.4431            130            119              2
        13.6408                  1.4500            132            125              4
        13.7059                  1.4569            137            128              5
        13.7710                  1.4638            128            119              4
        13.8362                  1.4707            129            120              3
        13.9015                  1.4777            141            135              2
        13.9666                  1.4846            144            133              2
        14.0318                  1.4915            145            131              6
        14.0969                  1.4984            128            125              0
        14.1619                  1.5053            150            137              4
