CA   2     0.866    13.019
NH   1     0.999    15.015
CO   4     1.863    28.010
 G   9     0.067     1.008
 R  10     6.728   101.153
 N  11     3.862    58.060
 D  12     3.860    58.036
 Q  13     4.795    72.087
 E  14     4.793    72.063
 H  15     5.394    81.098
 K  16     4.865    73.139
 P  17     2.799    42.081
 S  18     2.064    31.034
 T  19     2.997    45.061
 A  20     1.000    15.035
 C  21     3.132    47.095
 I  22     3.799    57.116
 L  23     3.799    57.116
 M  24     4.998    75.149
 F  25     6.061    91.133
 W  26     8.658   130.170
 Y  27     7.126   107.132
 V  28     2.866    43.089
